Date,Open,High,Low,Close,Adj Close,Volume,Days
2022-02-14,79.580002,79.839996,77.050003,78.980003,76.808571,34652800,0
2022-02-15,76.900002,78.190002,76.419998,77.989998,75.845779,25075100,1
2022-02-16,78.790001,79.730003,78.040001,78.349998,76.195877,21733800,2
2022-02-17,78.480003,79.120003,77.949997,78.230003,76.079185,23738800,3
2022-02-18,77.160004,78.169998,76.889999,77.360001,75.233101,23394800,4
2022-02-22,79.669998,79.790001,75.309998,76.459999,74.357849,35947800,5
2022-02-23,76.459999,77.470001,76.129997,76.769997,74.659317,25385000,6
2022-02-24,79,79.029999,74.029999,75.800003,73.715996,46199900,7
2022-02-25,76.690002,77.989998,76.260002,77.839996,75.699898,28310300,8
2022-02-28,76.510002,78.93,76.199997,78.419998,76.263954,32204600,9
2022-03-01,78.769997,80.650002,78.330002,79.169998,76.99334,40002300,10
2022-03-02,80.599998,82.150002,79.82,80.529999,78.315948,44321400,11
2022-03-03,79.860001,81.769997,79.629997,81.040001,78.811928,30196600,12
2022-03-04,81.050003,84.279999,80.660004,84.089996,81.778069,42802200,13
2022-03-07,84.919998,87.230003,83.900002,87.120003,84.72477,55207900,14
2022-03-08,89.050003,91.510002,85.43,87.779999,85.366615,72082300,15
2022-03-09,84.029999,86.57,81.599998,82.790001,80.513817,65466700,16
2022-03-10,84.010002,85.68,82.900002,85.360001,83.013161,44644200,17
2022-03-11,84.07,86.230003,83.970001,84.919998,82.585251,35303400,18
2022-03-14,83.059998,83.449997,80.5,81.879997,79.62883,37462600,19
2022-03-15,78.82,79.169998,76.370003,77.220001,75.096954,47957900,20
2022-03-16,77.809998,78.620003,76.25,76.93,74.814919,37812300,21
2022-03-17,78.18,79.150002,77.07,78.980003,76.808571,34041900,22
2022-03-18,79.059998,79.389999,78.099998,78.669998,76.507088,41461500,23
2022-03-21,80.120003,82.519997,79.739998,82.199997,79.940025,33089300,24
2022-03-22,81.629997,82.199997,80.790001,81.839996,79.589928,23132200,25
2022-03-23,83.339996,84.269997,83.050003,83.129997,80.84446,27716300,26
2022-03-24,83.459999,84.650002,82.75,83.379997,81.087593,19871600,27
2022-03-25,82.919998,85.489998,82.790001,85.199997,82.857552,22398300,28
2022-03-28,83.169998,83.309998,82.019997,82.809998,80.533257,21552400,29
2022-03-29,80.809998,82.489998,79.760002,82.370003,80.105362,27036300,30
2022-03-30,83.059998,84.010002,82.709999,83.779999,81.476593,22079000,31
2022-03-31,82.870003,84.400002,82.550003,82.589996,80.319305,27861500,32
2022-04-01,81.989998,84.139999,81.989998,83.120003,80.83474,18671100,33
2022-04-04,83.559998,83.660004,82.050003,83.160004,80.873642,20869400,34
2022-04-05,83.5,85.07,82.559998,82.730003,80.455467,21753100,35
2022-04-06,83.419998,84.699997,82.940002,83.650002,81.350166,24768200,36
2022-04-07,83.830002,85.440002,82.709999,85.050003,82.711685,26122000,37
2022-04-08,85.169998,87.209999,85.169998,86.839996,84.452461,24866500,38
2022-04-11,85.779999,85.93,83.5,83.849998,81.544662,21800100,39
2022-04-12,85.709999,86.82,85.379997,85.599998,83.246552,22444200,40
2022-04-13,86.610001,87.110001,85.190002,86.809998,84.423286,19306800,41
2022-04-14,86.669998,88.459999,86.230003,87.830002,85.415245,24566400,42
2022-04-18,88.5,88.889999,87.75,88.550003,86.115448,19032300,43
2022-04-19,88.010002,88.660004,87.269997,87.760002,85.347176,20382600,44
2022-04-20,87.970001,88.5,87.300003,87.959999,85.541672,20689400,45
2022-04-21,88.949997,89.800003,86.790001,87.029999,84.637238,29010900,46
2022-04-22,86.660004,88.120003,85,85.129997,82.789482,23591600,47
2022-04-25,82.370003,82.660004,79.290001,82.260002,79.99839,37698300,48
2022-04-26,82.730003,84.720001,82.18,82.290001,80.027565,28941500,49
2022-04-27,83.389999,85.480003,82.279999,84.639999,82.312958,32773000,50
2022-04-28,84.879997,88.139999,84.07,87.199997,84.802567,33683800,51
2022-04-29,88.139999,88.139999,84.699997,85.25,82.906181,34656500,52
2022-05-02,85.010002,87.040001,84.629997,86.410004,84.034286,36335200,53
2022-05-03,86.260002,88.779999,86.120003,88.190002,85.76535,33908100,54
2022-05-04,89.5,91.879997,88.910004,91.699997,89.178841,46188400,55
2022-05-05,92.040001,92.050003,88.389999,90.309998,87.827057,41013400,56
2022-05-06,90.980003,91.82,89.349998,91.690002,89.169121,29619300,57
2022-05-09,89.440002,89.559998,84.019997,84.459999,82.137894,45851600,58
2022-05-10,85.639999,86.889999,83.519997,85.019997,82.682503,34483200,59
2022-05-11,86.43,88.940002,86.279999,86.790001,84.403839,33020600,60
2022-05-12,85.949997,86.379997,83.400002,86.300003,84.787003,29491500,61
2022-05-13,87.360001,88.949997,86.349998,88.860001,87.302116,25798400,62
2022-05-16,88.980003,91.980003,88.970001,90.949997,89.355476,26101200,63
2022-05-17,91.730003,92.449997,91.120003,92.110001,90.49514,23120700,64
2022-05-18,92.510002,92.919998,89.830002,90.650002,89.060745,25451200,65
2022-05-19,89,92.300003,89,91.139999,89.542152,24387400,66
